symbol,date,event_type,event_desc,impact_score
000300,20260705,share_buyback,回购计划完成,0.7
000034,20260706,share_buyback,回购,0.5
000034,20260703,share_buyback,回购,0.5
000034,20260702,share_buyback,回购,0.5
000034,20260701,share_buyback,回购,0.5
000034,20260630,share_buyback,回购,0.5
000034,20251030,share_buyback,"回购 5458362股, 均价43元",0.5
000063,20260703,share_buyback,"回购 24558211股, 均价63.09元",0.5
000400,20250930,share_buyback,回购 127060股,0.5
000636,20260706,share_buyback,回购,0.5
000636,20260703,share_buyback,回购,0.5
000636,20260702,share_buyback,回购,0.5
000636,20260701,share_buyback,回购,0.5
000636,20260630,share_buyback,回购,0.5
000620,20251231,dividend,"分红: 2025年度分配, 每股股利-元",0.2
000620,20250630,dividend,"分红: 2025中期分配, 每股股利-元",0.2
000620,20241231,dividend,"分红: 2024年度分配, 每股股利-元",0.2
000620,20240630,dividend,"分红: 2024中期分配, 每股股利-元",0.2
000620,20231231,dividend,"分红: 2023年度分配, 每股股利-元",0.2
000620,20230630,dividend,"分红: 2023中期分配, 每股股利-元",0.2
000620,20221231,dividend,"分红: 2022年度分配, 每股股利-元",0.2
000620,20220630,dividend,"分红: 2022中期分配, 每股股利-元",0.2
000620,20211231,dividend,"分红: 2021年度分配, 每股股利-元",0.2
000620,20210630,dividend,"分红: 2021中期分配, 每股股利-元",0.2
000620,20201231,dividend,"分红: 2020年度分配, 每股股利-元",0.2
000620,20200630,dividend,"分红: 2020中期分配, 每股股利-元",0.2
000620,20191231,dividend,"分红: 2019年度分配, 每股股利-元",0.2
000620,20190630,dividend,"分红: 2019中期分配, 每股股利-元",0.2
000620,20181231,dividend,"分红: 2018年度分配, 每股股利0.2元",0.2
000620,20180630,dividend,"分红: 2018中期分配, 每股股利-元",0.2
000620,20171231,dividend,"分红: 2017年度分配, 每股股利0.1元",0.2
000620,20170630,dividend,"分红: 2017中期分配, 每股股利-元",0.2
000620,20161231,dividend,"分红: 2016年度分配, 每股股利0.1元",0.2
000620,20160630,dividend,"分红: 2016中期分配, 每股股利-元",0.2
000620,20151231,dividend,"分红: 2015年度分配, 每股股利0.1元",0.2
000620,20150630,dividend,"分红: 2015中期分配, 每股股利-元",0.2
000620,20141231,dividend,"分红: 2014年度分配, 每股股利-元",0.2
000620,20140630,dividend,"分红: 2014中期分配, 每股股利-元",0.2
000620,20131231,dividend,"分红: 2013年度分配, 每股股利0.1元",0.2
000620,20130630,dividend,"分红: 2013中期分配, 每股股利-元",0.2
000620,20121231,dividend,"分红: 2012年度分配, 每股股利0.1元",0.2
000620,20120630,dividend,"分红: 2012中期分配, 每股股利-元",0.2
000620,20111231,dividend,"分红: 2011年度分配, 每股股利0.1元",0.2
000620,20110630,dividend,"分红: 2011中期分配, 每股股利-元",0.2
