code,report_date,pub_date,asof_date,total_assets,total_liab,debt_ratio,current_assets,current_liab,source,fetch_time
000063,2026-03-31,2026-04-25,2026-03-31,1.6573,1.0804,0.543,0.023,0.6587,baostock,2026-07-07T12:03:38+08:00
000333,2026-03-31,2026-04-30,2026-03-31,1.2149,1.0441,0.2849,-0.0629,0.6002,baostock,2026-07-07T12:03:39+08:00
000400,2026-03-31,2026-04-11,2026-03-31,1.7881,1.4555,0.6205,0.0047,0.4759,baostock,2026-07-07T12:03:39+08:00
000533,2026-03-31,2026-04-30,2026-03-31,1.3362,1.0811,0.2221,0.0367,0.6325,baostock,2026-07-07T12:03:39+08:00
000620,2026-03-31,2026-04-29,2026-03-31,1.2461,0.4223,0.1427,-0.0514,0.6206,baostock,2026-07-07T12:03:39+08:00
000636,2026-03-31,2026-04-29,2026-03-31,2.3362,1.9934,1.0069,-0.0177,0.2323,baostock,2026-07-07T12:03:40+08:00
000681,2026-03-31,2026-04-30,2026-03-31,2.0248,2.0248,1.4629,0.1052,0.1686,baostock,2026-07-07T12:03:40+08:00
000880,2026-03-31,2026-04-30,2026-03-31,0.9524,0.6702,0.3933,0.3969,0.7464,baostock,2026-07-07T12:03:40+08:00
000938,2026-03-31,2026-04-29,2026-03-31,1.0927,0.466,0.1288,0.0687,0.8237,baostock,2026-07-07T12:03:41+08:00
000959,2026-03-31,2026-04-18,2026-03-31,0.564,0.3893,0.1401,-0.0954,0.557,baostock,2026-07-07T12:03:41+08:00
000970,2026-03-31,2026-04-25,2026-03-31,4.2352,2.4162,1.0803,-0.0596,0.243,baostock,2026-07-07T12:03:41+08:00
000977,2026-03-31,2026-04-30,2026-03-31,1.4471,0.6469,0.1989,-0.1272,0.7321,baostock,2026-07-07T12:03:41+08:00
000988,2026-03-31,2026-04-27,2026-03-31,1.7453,1.3116,0.39,0.1575,0.4875,baostock,2026-07-07T12:03:42+08:00
001896,2026-03-31,2026-04-30,2026-03-31,0.6673,0.6254,0.3672,0.0435,0.8709,baostock,2026-07-07T12:03:43+08:00
002028,2026-03-31,2026-04-25,2026-03-31,1.7893,1.4203,0.5375,0.324,0.4585,baostock,2026-07-07T12:03:43+08:00
