symbol,date,net_main_force,net_super_large,net_large,net_medium,net_small,days_inflow,days_outflow
000034,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
000034,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
000034,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
000034,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
000400,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
000400,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
000400,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
000400,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
000636,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
000636,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
000636,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
000636,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
000880,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
000880,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
000880,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
000880,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
000970,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
000970,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
000970,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
000970,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
001309,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
001309,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
001309,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
001309,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002049,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002049,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002049,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002049,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002080,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002080,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002080,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002080,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002130,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002130,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002130,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002130,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002151,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002151,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002151,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002151,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002185,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002185,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002185,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002185,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002222,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002222,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002222,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002222,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002236,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002236,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002236,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002236,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002270,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002270,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002270,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002270,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002288,2026-07-04,0.0,0.0,0.0,0.0,0.0,0,0
002288,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002288,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002288,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002288,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002364,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002364,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002364,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002364,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002396,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002396,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002396,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002396,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002415,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002415,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002415,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002415,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002436,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002436,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002436,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002436,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002472,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002472,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002472,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
002472,2026-06-30,0.0,0.0,0.0,0.0,0.0,,
002518,2026-07-03,0.0,0.0,0.0,0.0,0.0,,
002518,2026-07-02,0.0,0.0,0.0,0.0,0.0,,
002518,2026-07-01,0.0,0.0,0.0,0.0,0.0,,
