symbol,name,report_date,pub_date,year,quarter,roe,net_margin,gross_margin,net_profit,eps,revenue,debt_ratio,source
002156,,2026-03-31,2026-04-30,2026,1,0.0211,0.0468,0.1332,350243523.53,0.9531,,0.228,baostock
002371,,2026-03-31,2026-04-30,2026,1,0.0425,0.1519,0.4077,1567956334.89,7.6928,,0.7185,baostock
002916,,2026-03-31,2026-04-24,2026,1,0.0483,0.1291,0.2917,851291856.45,5.3357,,0.0924,baostock
002938,,2026-03-31,2026-04-30,2026,1,0.0135,0.0558,0.2295,445575362.8,1.6015,,1.0289,baostock
300236,,2026-03-31,2026-04-29,2026,1,0.0208,0.1798,0.4218,103809940.45,1.127,,0.8299,baostock
300308,,2026-03-31,2026-04-17,2026,1,0.1755,0.324,0.4606,6316792027.02,13.4539,,0.7494,baostock
300394,,2026-03-31,2026-04-21,2026,1,0.0857,0.3701,0.566,492269821.58,2.7937,,3.3412,baostock
300502,,2026-03-31,2026-04-24,2026,1,0.1452,0.3327,0.4916,2774196263.34,10.8043,,0.9618,baostock
300604,,2026-03-31,2026-04-25,2026,1,0.0717,0.2605,0.5681,359098469.15,2.4793,,0.4031,baostock
600584,,2026-03-31,2026-04-29,2026,1,0.0101,0.0304,0.1455,278881514.87,0.9233,,0.4929,baostock
600703,,2026-03-31,2026-04-25,2026,1,0.0019,0.0248,0.1848,71968064.35,-0.0997,,0.5435,baostock
603228,,2026-03-31,2026-04-23,2026,1,0.0176,0.0624,0.1876,243014470.56,1.1564,,0.4216,baostock
603986,,2026-03-31,2026-04-30,2026,1,0.066,0.3516,0.5708,1472515257.26,4.1002,,7.5331,baostock
688008,,2026-03-31,2026-04-28,2026,1,0.0502,0.568,0.6979,829725360.22,2.0926,,22.2349,baostock
688012,,2026-03-31,2026-04-28,2026,1,0.0396,0.3151,0.3989,918439904.12,4.3582,,1.4137,baostock
688019,,2026-03-31,2026-04-29,2026,1,0.0512,0.2869,0.5546,207672321.11,4.7001,,3.5836,baostock
688037,,2026-03-31,2026-04-30,2026,1,0.0013,0.0309,0.4669,10209702.79,0.3499,,0.5246,baostock
688041,,2026-03-31,2026-04-08,2026,1,0.0299,0.2175,0.556,877361302.1,1.1728,,1.1341,baostock
688072,,2026-03-31,2026-04-28,2026,1,0.0824,0.5054,0.4169,562276722.71,5.8236,,0.4924,baostock
