code,report_date,pub_date,asof_date,roe,net_margin,gross_margin,net_profit,eps,source,fetch_time
002156,2026-03-31,2026-04-30,2026-03-31,0.0211,0.0468,0.1332,350243523.53,0.9531,baostock,2026-07-03T17:31:50+08:00
002371,2026-03-31,2026-04-30,2026-03-31,0.0425,0.1519,0.4077,1567956334.89,7.6928,baostock,2026-07-03T17:31:51+08:00
002916,2026-03-31,2026-04-24,2026-03-31,0.0483,0.1291,0.2917,851291856.45,5.3357,baostock,2026-07-03T17:31:51+08:00
002938,2026-03-31,2026-04-30,2026-03-31,0.0135,0.0558,0.2295,445575362.8,1.6015,baostock,2026-07-03T17:31:52+08:00
300236,2026-03-31,2026-04-29,2026-03-31,0.0208,0.1798,0.4218,103809940.45,1.127,baostock,2026-07-03T17:31:53+08:00
300308,2026-03-31,2026-04-17,2026-03-31,0.1755,0.324,0.4606,6316792027.02,13.4539,baostock,2026-07-03T17:31:54+08:00
300394,2026-03-31,2026-04-21,2026-03-31,0.0857,0.3701,0.566,492269821.58,2.7937,baostock,2026-07-03T17:31:55+08:00
300502,2026-03-31,2026-04-24,2026-03-31,0.1452,0.3327,0.4916,2774196263.34,10.8043,baostock,2026-07-03T17:31:55+08:00
300604,2026-03-31,2026-04-25,2026-03-31,0.0717,0.2605,0.5681,359098469.15,2.4793,baostock,2026-07-03T17:31:57+08:00
600584,2026-03-31,2026-04-29,2026-03-31,0.0101,0.0304,0.1455,278881514.87,0.9233,baostock,2026-07-03T17:31:58+08:00
600703,2026-03-31,2026-04-25,2026-03-31,0.0019,0.0248,0.1848,71968064.35,-0.0997,baostock,2026-07-03T17:31:59+08:00
603228,2026-03-31,2026-04-23,2026-03-31,0.0176,0.0624,0.1876,243014470.56,1.1564,baostock,2026-07-03T17:32:00+08:00
603986,2026-03-31,2026-04-30,2026-03-31,0.066,0.3516,0.5708,1472515257.26,4.1002,baostock,2026-07-03T17:32:00+08:00
688008,2026-03-31,2026-04-28,2026-03-31,0.0502,0.568,0.6979,829725360.22,2.0926,baostock,2026-07-03T17:32:01+08:00
688012,2026-03-31,2026-04-28,2026-03-31,0.0396,0.3151,0.3989,918439904.12,4.3582,baostock,2026-07-03T17:32:02+08:00
688019,2026-03-31,2026-04-29,2026-03-31,0.0512,0.2869,0.5546,207672321.11,4.7001,baostock,2026-07-03T17:32:02+08:00
688037,2026-03-31,2026-04-30,2026-03-31,0.0013,0.0309,0.4669,10209702.79,0.3499,baostock,2026-07-03T17:32:03+08:00
688041,2026-03-31,2026-04-08,2026-03-31,0.0299,0.2175,0.556,877361302.1,1.1728,baostock,2026-07-03T17:32:04+08:00
688072,2026-03-31,2026-04-28,2026-03-31,0.0824,0.5054,0.4169,562276722.71,5.8236,baostock,2026-07-03T17:32:05+08:00
688120,2026-03-31,2026-04-23,2026-03-31,0.0326,0.2058,0.4231,247304870.48,3.1037,baostock,2026-07-03T17:32:05+08:00
688126,2026-03-31,2026-04-30,2026-03-31,-0.0286,-0.4872,-0.1185,-528126450.94,-0.5392,baostock,2026-07-03T17:32:06+08:00
688200,2026-03-31,2026-04-29,2026-03-31,0.0228,0.3444,0.753,93620711.44,4.1936,baostock,2026-07-03T17:32:07+08:00
688256,2026-03-31,2026-04-30,2026-03-31,0.082,0.3512,0.5433,1013125012.86,6.4431,baostock,2026-07-03T17:32:08+08:00
688313,2026-03-31,2026-04-18,2026-03-31,0.0724,0.2015,0.3413,116175902.84,0.8744,baostock,2026-07-03T17:32:09+08:00
688525,2026-03-31,2026-04-16,2026-03-31,0.4156,0.4222,0.533,2877141550.24,8.3883,baostock,2026-07-03T17:32:10+08:00
688981,2026-03-31,2026-05-15,2026-03-31,0.0091,0.0905,0.2148,1593998000.0,0.6306,baostock,2026-07-03T17:32:10+08:00
