symbol,name,last_price,pct_change,change_amount,volume,turnover,high,low,open,prev_close,data_time,fetch_time,source,freshness_seconds
002156,通富微电,65.33,-3.03,6.1,910696,6011955430.72,67.99,63.88,67.67,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
002916,深南电路,465.41,10.0,11.91,138112,6200385686.49,465.41,415.0,426.28,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
002938,鹏鼎控股,95.89,3.64,7.03,361284,3460621184.49,98.5,92.0,92.52,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
300236,上海新阳,110.3,-5.98,8.27,143841,1615838123.99,118.73,109.03,116.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
300308,中际旭创,1128.9,-1.23,5.6,289377,33301399163.5,1188.01,1124.0,1130.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
300502,新易盛,529.59,4.05,9.02,494009,26298914292.49,551.77,505.88,510.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
300604,长川科技,304.62,1.05,9.03,308228,9224150440.04,313.21,286.0,300.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
600584,长电科技,92.02,-4.13,6.91,1531868,14125447320.0,94.98,88.35,93.4,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
600703,三安光电,18.37,-3.52,5.36,2284069,4292032033.0,19.38,18.36,19.05,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
603228,景旺电子,72.02,8.84,11.77,510969,3631686027.0,72.79,65.0,66.05,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
603986,兆易创新,696.79,0.28,10.84,567292,38825541935.0,717.66,642.35,672.54,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688008,澜起科技,270.85,0.63,9.3,655029,17621733898.0,280.79,255.76,262.15,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688012,中微公司,418.26,2.29,8.97,309906,12632989269.0,428.68,392.0,396.21,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688019,安集科技,286.0,-5.11,8.19,114992,3316934794.0,301.98,277.3,295.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688041,海光信息,326.09,1.18,6.32,266675,8719045223.0,337.39,317.03,327.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688072,拓荆科技,,0.0,,0,0.0,,,,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688120,华海清科,268.2,-4.56,7.35,207055,5566311856.0,279.66,259.0,272.57,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688200,华峰测控,463.61,3.02,13.25,73847,3337105361.0,480.68,421.07,448.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688256,寒武纪,1375.01,0.22,5.25,90099,12407499536.0,1412.0,1340.0,1344.14,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
688525,佰维存储,433.75,3.57,10.96,337361,14405211458.0,446.88,401.0,417.0,,2026-07-03T14:32:13+08:00,2026-07-03T14:32:13+08:00,eastmoney_direct,0
