code,date,adjust_factor,dividend,source,fetch_time
002156,2015-10-29,0.7576,2.1367,baostock,2026-07-03T17:33:28+08:00
002156,2016-05-31,0.9866,2.7826,baostock,2026-07-03T17:33:28+08:00
002156,2019-05-16,0.9912,2.7957,baostock,2026-07-03T17:33:28+08:00
002156,2019-07-19,0.9912,2.7957,baostock,2026-07-03T17:33:28+08:00
002156,2021-06-23,0.9926,2.7997,baostock,2026-07-03T17:33:28+08:00
002156,2023-05-30,0.9967,2.8113,baostock,2026-07-03T17:33:28+08:00
002156,2024-06-25,0.9972,2.8125,baostock,2026-07-03T17:33:28+08:00
002156,2025-06-17,0.9989,2.8173,baostock,2026-07-03T17:33:28+08:00
002156,2026-05-28,1.0,2.8205,baostock,2026-07-03T17:33:28+08:00
002371,2016-06-22,0.7334,4.7355,baostock,2026-07-03T17:33:28+08:00
002371,2017-06-13,0.734,4.7393,baostock,2026-07-03T17:33:28+08:00
002371,2018-07-03,0.7344,4.7422,baostock,2026-07-03T17:33:28+08:00
002371,2019-07-10,0.735,4.7457,baostock,2026-07-03T17:33:28+08:00
002371,2020-06-23,0.7352,4.7474,baostock,2026-07-03T17:33:28+08:00
002371,2021-07-09,0.7355,4.749,baostock,2026-07-03T17:33:28+08:00
002371,2022-07-13,0.736,4.7524,baostock,2026-07-03T17:33:28+08:00
002371,2023-07-13,0.7371,4.7597,baostock,2026-07-03T17:33:28+08:00
002371,2024-07-04,0.7389,4.7714,baostock,2026-07-03T17:33:28+08:00
002371,2025-07-03,1.0,6.457,baostock,2026-07-03T17:33:28+08:00
002916,2017-12-13,0.4214,1.0,baostock,2026-07-03T17:33:29+08:00
002916,2018-05-28,0.4243,1.0069,baostock,2026-07-03T17:33:29+08:00
002916,2019-05-17,0.5127,1.2165,baostock,2026-07-03T17:33:29+08:00
002916,2020-05-13,0.721,1.7107,baostock,2026-07-03T17:33:29+08:00
002916,2021-06-01,0.729,1.7297,baostock,2026-07-03T17:33:29+08:00
002916,2022-05-30,0.7368,1.7482,baostock,2026-07-03T17:33:29+08:00
002916,2023-05-30,0.7464,1.7709,baostock,2026-07-03T17:33:29+08:00
002916,2024-05-30,0.7539,1.7888,baostock,2026-07-03T17:33:29+08:00
002916,2025-05-29,0.994,2.3585,baostock,2026-07-03T17:33:29+08:00
002916,2026-05-29,1.0,2.3728,baostock,2026-07-03T17:33:29+08:00
002938,2018-09-18,0.8615,1.0,baostock,2026-07-03T17:33:29+08:00
002938,2019-06-10,0.879,1.0203,baostock,2026-07-03T17:33:29+08:00
002938,2020-06-17,0.8883,1.0311,baostock,2026-07-03T17:33:29+08:00
