code,name,last_price,change_pct,change_amount,volume,amount,amplitude,turnover_rate,pe,pb,open,high,low,source,update_time
bj920000,安徽凤凰,11.5,-1.457,-0.17,255208.0,2967493.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920001,纬达光电,13.75,-3.373,-0.48,1269262.0,17800955.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920002,万达轴承,63.18,3.914,2.38,2525367.0,165298540.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920003,中诚咨询,26.91,-0.628,-0.17,108678.0,2933674.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920005,鼎佳精密,26.9,0.0,0.0,65747.0,1766311.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920006,晟楠科技,15.1,-1.048,-0.16,487982.0,7463151.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920007,酉立智能,36.68,-0.704,-0.26,40531.0,1492296.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920008,成电光信,20.08,-2.097,-0.43,518672.0,10504516.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920009,丹娜生物,40.0,-3.846,-1.6,536437.0,21783647.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920010,凯添燃气,7.39,-1.729,-0.13,1309979.0,9919735.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920011,晨光电机,21.62,-2.962,-0.66,1297330.0,28998467.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920012,创达新材,65.06,-2.327,-1.55,716941.0,47067153.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920014,特瑞斯,8.14,-1.333,-0.11,371066.0,3038785.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920015,锦华新材,58.22,-0.137,-0.08,2331579.0,137074186.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920016,中草香料,12.35,0.325,0.04,139624.0,1733245.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920017,星昊医药,17.2,-3.641,-0.65,2305212.0,40014942.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920018,宏远股份,14.47,0.347,0.05,521771.0,7641594.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920019,铜冠矿建,16.21,-1.817,-0.3,994236.0,16220266.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920020,泰凯英,15.83,-0.752,-0.12,568889.0,9095139.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920021,流金科技,7.15,0.989,0.07,7527224.0,54430752.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920022,世昌股份,19.75,-0.253,-0.05,53148.0,1058493.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920023,*ST田野,1.64,-3.529,-0.06,2916579.0,4846884.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920026,卓兆点胶,20.66,-2.363,-0.5,556429.0,11703908.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920027,交大铁发,11.07,-0.36,-0.04,259161.0,2885518.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920028,新恒泰,15.26,-0.261,-0.04,943299.0,14436356.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920029,开发科技,34.6,-0.831,-0.29,339407.0,11814528.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920030,德众汽车,4.34,-0.459,-0.02,1035446.0,4532465.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920033,康普化学,14.81,-2.566,-0.39,572795.0,8620769.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920035,精创电气,28.9,-3.053,-0.91,940154.0,27406903.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920036,觅睿科技,35.06,-4.986,-1.84,529870.0,18940269.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920037,广信科技,44.84,6.18,2.61,2036588.0,92198663.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920039,国义招标,7.35,0.136,0.01,395402.0,2906763.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920045,蘅东光,362.0,-4.475,-16.96,514480.0,192439083.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920046,亿能电力,20.85,-2.342,-0.5,1501636.0,31963399.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920047,诺思兰德,22.22,0.361,0.08,6694579.0,147361286.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920050,爱伦医疗,26.75,-1.255,-0.34,51364.0,1380111.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920055,隆源股份,27.9,-2.14,-0.61,183353.0,5191172.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920056,能之光,17.36,-0.058,-0.01,267020.0,4660154.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920057,百甲科技,4.75,-0.21,-0.01,440709.0,2105942.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920058,华洋赛车,19.78,7.911,1.45,1407627.0,28440968.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920060,万源通,25.39,-3.166,-0.83,1489259.0,38610314.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920061,西磁科技,20.03,-0.596,-0.12,295082.0,5963520.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920062,科润智控,8.72,-2.57,-0.23,1811672.0,15997522.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920066,科拜尔,17.64,-0.283,-0.05,345936.0,6082905.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920068,天工股份,16.74,0.06,0.01,757129.0,12746171.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920069,普昂医疗,34.38,-2.468,-0.87,335102.0,11649616.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920072,科莱瑞迪,30.52,-12.625,-4.41,2579417.0,80109694.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920075,柏星龙,15.02,0.805,0.12,377776.0,5732397.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920076,国亮新材,12.59,-0.396,-0.05,216033.0,2723727.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920077,吉林碳谷,17.3,-0.86,-0.15,3557815.0,62387276.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920078,族兴新材,28.0,1.818,0.5,1298988.0,36413269.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920080,奥美森,23.7,0.98,0.23,475270.0,11357966.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920082,方正阀门,7.88,-0.505,-0.04,264236.0,2094770.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920083,金戈新材,46.15,-8.177,-4.11,3005919.0,141918359.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920086,科马材料,23.23,-0.3,-0.07,401524.0,9364998.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920087,秋乐种业,9.79,-1.211,-0.12,1271083.0,12481689.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920088,科力股份,31.69,-2.642,-0.86,1154225.0,36789656.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920089,禾昌聚合,10.32,-0.482,-0.05,529457.0,5518905.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920090,*ST同辉,3.2,-6.433,-0.22,3560491.0,11613036.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920091,大鹏工业,38.0,-2.414,-0.94,565582.0,22299883.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920092,汉鑫科技,24.54,-1.604,-0.4,438857.0,10924972.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920096,嘉晨智能,46.97,-2.41,-1.16,1854441.0,91553244.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920098,科隆新材,17.89,-0.334,-0.06,358433.0,6473324.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920099,瑞华技术,21.64,-1.77,-0.39,242911.0,5316477.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920100,三协电机,42.83,-0.856,-0.37,2435241.0,107063050.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920101,志高机械,17.83,1.48,0.26,454111.0,8231312.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920106,林泰新材,37.57,-0.027,-0.01,170396.0,6464450.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920108,宏海科技,9.31,-3.021,-0.29,524121.0,4986435.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920110,雷特科技,24.25,-1.222,-0.3,18930.0,466871.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920111,聚星科技,34.63,-2.037,-0.72,3213677.0,111406584.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920112,巴兰仕,15.68,-0.571,-0.09,130421.0,2062415.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920116,星图测控,65.03,1.135,0.73,1701354.0,111289157.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920118,太湖远大,18.32,-1.08,-0.2,196427.0,3642222.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920119,美德乐,54.54,-0.274,-0.15,437906.0,24079820.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920121,江天科技,28.53,-0.558,-0.16,55240.0,1583424.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920122,中纺标,25.8,11.351,2.63,2071077.0,51186750.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920123,芭薇股份,9.87,-1.3,-0.13,576347.0,5739273.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920124,南特科技,13.43,-1.899,-0.26,826271.0,11246297.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920125,鸿仕达,170.03,-3.051,-5.35,562169.0,96230734.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920126,永大股份,11.45,-4.424,-0.53,3015148.0,35102817.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920128,胜业电气,21.0,1.449,0.3,2097478.0,45179671.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920130,立方控股,13.27,-0.525,-0.07,319758.0,4293943.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920132,泰鹏智能,7.74,-0.129,-0.01,193706.0,1511179.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920139,华岭股份,18.53,2.319,0.42,4752187.0,87828669.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920145,恒合股份,9.89,-0.202,-0.02,165668.0,1640685.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920146,华阳变速,5.07,-2.312,-0.12,915791.0,4758032.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920149,旭杰科技,7.64,-2.051,-0.16,381955.0,2950046.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920152,昆工科技,15.63,0.192,0.03,372738.0,5821447.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920156,海昌智能,48.98,-6.169,-3.22,1051002.0,53144747.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920158,长江能科,8.12,-0.368,-0.03,421665.0,3455126.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920159,农大科技,27.49,-2.31,-0.65,181429.0,5072248.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920160,北矿检测,20.48,0.491,0.1,295686.0,6034390.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920161,龙辰科技,36.65,-3.806,-1.45,3600783.0,133228949.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920163,方大新材,9.29,0.108,0.01,163360.0,1524241.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920166,海圣医疗,21.61,-2.217,-0.49,167997.0,3658193.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920167,同享科技,17.35,-1.922,-0.34,743785.0,13005437.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920168,通宝光电,15.82,-1.248,-0.2,92967.0,1484898.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920169,七丰精工,20.19,-1.656,-0.34,636641.0,13043936.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920171,志晟信息,19.15,0.472,0.09,1676177.0,32010147.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920174,五新智能,30.88,0.586,0.18,364787.0,11297155.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920175,东方碳素,9.78,-0.711,-0.07,1326229.0,13101175.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920177,恒道科技,25.26,-1.405,-0.36,231195.0,5880313.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920178,锐翔智能,127.89,-6.232,-8.5,1002101.0,129857516.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920179,凯德石英,82.0,-1.679,-1.4,2161109.0,180935254.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920180,爱得科技,12.33,-2.143,-0.27,195730.0,2429559.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920181,赛英电子,93.06,-2.063,-1.96,375699.0,35394969.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920183,海菲曼,29.5,-0.774,-0.23,97862.0,2903160.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920184,国源科技,11.61,-0.769,-0.09,955326.0,11122665.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920185,贝特瑞,24.78,0.978,0.24,2241978.0,55693154.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920186,中科仪,100.01,-1.234,-1.25,3692950.0,371155800.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920187,通领科技,20.58,-0.819,-0.17,552830.0,11495774.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920188,悦龙科技,24.32,-3.377,-0.85,364116.0,9014864.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920190,雷神科技,22.4,-0.885,-0.2,1764071.0,39868310.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920191,瑞尔竞达,9.01,-1.53,-0.14,702038.0,6369563.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920193,吉和昌,50.25,-9.557,-5.31,7410387.0,378370488.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920195,三祥科技,11.89,-3.255,-0.4,381545.0,4593230.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920198,微创光电,7.31,-4.194,-0.32,3055701.0,22497118.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920199,倍益康,24.41,-5.934,-1.54,1437435.0,35374032.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920200,振宏股份,30.83,-5.92,-1.94,1676136.0,52851987.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920204,沪江材料,12.73,-0.235,-0.03,335393.0,4269237.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920206,彩客科技,44.45,-11.348,-5.69,1650392.0,75978616.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920207,众诚科技,22.27,3.102,0.67,2415355.0,54638281.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920208,青矩技术,12.7,-1.855,-0.24,461858.0,5944002.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920211,新睿电子,164.01,-9.136,-16.49,1210956.0,202413508.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920212,智新电子,9.24,0.544,0.05,487049.0,4571975.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920218,新天力,18.2,-7.661,-1.51,2456798.0,45927325.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920220,朗信电气,54.7,-7.32,-4.32,1104693.0,62263589.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920221,易实精密,14.66,-3.489,-0.53,3687914.0,55407571.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920222,益坤电气,28.0,-4.665,-1.37,1805793.0,51292220.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920223,荣亿精密,13.12,-1.353,-0.18,1048165.0,13944001.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920225,利通科技,16.08,-2.309,-0.38,875780.0,14256857.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920227,美登科技,47.81,-0.499,-0.24,117894.0,5663978.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920230,欧康医药,10.73,-5.379,-0.61,4219738.0,45973656.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920237,力佳科技,14.16,2.683,0.37,1844480.0,26963700.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920239,长虹能源,24.26,0.831,0.2,668041.0,16297816.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920242,建邦科技,13.66,-1.372,-0.19,183862.0,2541198.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920245,威博液压,13.45,0.448,0.06,516799.0,7068082.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920247,华密新材,15.94,-0.125,-0.02,1329768.0,21495366.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920249,利尔达,11.31,3.761,0.41,14792189.0,167310939.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920252,天宏锂电,18.54,4.157,0.74,2673781.0,50253052.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920260,中寰股份,7.35,-1.21,-0.09,734923.0,5461501.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920261,一诺威,13.5,-0.516,-0.07,355665.0,4836440.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920262,太湖雪,12.33,-0.565,-0.07,196276.0,2440524.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920263,中航泰达,7.01,-1.268,-0.09,546185.0,3862828.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
