symbol,date,sentiment_score,sentiment_label,positive_count,negative_count,neutral_count
000300,20260705,0.65,positive,15,3,22
000063,20260707,0.5,positive,3,1,0
000333,20260707,0.45,positive,8,3,0
000400,20260707,-0.06,neutral,8,9,0
000533,20260707,0.0,neutral,1,1,0
000620,20260707,0.47,positive,11,4,0
000063,20260707,0.5,positive,3,1,0
000333,20260707,0.45,positive,8,3,0
000400,20260707,-0.06,neutral,8,9,0
000533,20260707,0.0,neutral,1,1,0
000620,20260707,0.47,positive,11,4,0
000636,20260707,0.6,positive,8,2,0
000681,20260707,0.11,neutral,5,4,0
000880,20260707,0.71,positive,6,1,0
000938,20260707,-0.2,neutral,2,3,0
000959,20260707,1.0,positive,4,0,0
000970,20260707,0.09,neutral,6,5,0
000977,20260707,0.85,positive,12,1,0
000988,20260707,1.0,positive,7,0,0
001309,20260707,0.14,neutral,4,3,0
001896,20260707,-1.0,negative,0,3,0
002028,20260707,0.54,positive,10,3,0
002049,20260707,0.2,neutral,3,2,0
002050,20260707,0.5,positive,6,2,0
002063,20260707,0.43,positive,5,2,0
002080,20260707,0.6,positive,4,1,0
000063,20260707,0.5,positive,3,1,0
000333,20260707,0.45,positive,8,3,0
000400,20260707,-0.06,neutral,8,9,0
000533,20260707,0.0,neutral,1,1,0
000620,20260707,0.47,positive,11,4,0
000636,20260707,0.6,positive,8,2,0
000681,20260707,0.11,neutral,5,4,0
000880,20260707,0.71,positive,6,1,0
000938,20260707,-0.2,neutral,2,3,0
000959,20260707,1.0,positive,4,0,0
000970,20260707,0.09,neutral,6,5,0
000977,20260707,0.85,positive,12,1,0
000988,20260707,1.0,positive,7,0,0
000063,20260707,0.5,positive,3,1,0
000333,20260707,0.45,positive,8,3,0
000400,20260707,-0.06,neutral,8,9,0
000533,20260707,0.0,neutral,1,1,0
000620,20260707,0.47,positive,11,4,0
000636,20260707,0.6,positive,8,2,0
000681,20260707,0.11,neutral,5,4,0
000880,20260707,0.71,positive,6,1,0
000938,20260707,-0.2,neutral,2,3,0
000959,20260707,1.0,positive,4,0,0
001896,20260707,-1.0,negative,0,3,0
002028,20260707,0.54,positive,10,3,0
002049,20260707,0.2,neutral,3,2,0
002050,20260707,0.5,positive,6,2,0
002063,20260707,0.43,positive,5,2,0
002080,20260707,0.6,positive,4,1,0
