ret20_weight,vol_ratio20_weight,top_n,total_return,max_drawdown,total_trades
0.15,0.15,15,0.1715,0.2207,18
0.15,0.25,15,0.1715,0.2207,18
0.15,0.35,15,0.1715,0.2207,18
0.2,0.15,15,0.1715,0.2207,18
0.2,0.25,15,0.1715,0.2207,18
0.2,0.35,15,0.1715,0.2207,18
0.25,0.15,15,0.1715,0.2207,18
0.25,0.25,15,0.1715,0.2207,18
0.25,0.35,15,0.1715,0.2207,18
0.15,0.15,10,0.1243,0.0404,258
0.15,0.25,10,0.1243,0.0404,258
0.15,0.35,10,0.1243,0.0404,258
0.2,0.15,10,0.1243,0.0404,258
0.2,0.25,10,0.1243,0.0404,258
0.2,0.35,10,0.1243,0.0404,258
0.25,0.15,10,0.1243,0.0404,258
0.25,0.25,10,0.1243,0.0404,258
0.25,0.35,10,0.1243,0.0404,258
0.15,0.15,5,0.1078,0.1458,574
0.15,0.25,5,0.1078,0.1458,574
0.15,0.35,5,0.1078,0.1458,574
0.2,0.15,5,0.1078,0.1458,574
0.2,0.25,5,0.1078,0.1458,574
0.2,0.35,5,0.1078,0.1458,574
0.25,0.15,5,0.1078,0.1458,574
0.25,0.25,5,0.1078,0.1458,574
0.25,0.35,5,0.1078,0.1458,574
