ret20_weight,vol_ratio20_weight,top_n,total_return,max_drawdown,total_trades
0.08,0.08,8,0.0851,0.0423,202
0.08,0.1,8,0.0851,0.0423,202
0.08,0.12,8,0.0851,0.0423,202
0.1,0.08,8,0.0851,0.0423,202
0.1,0.1,8,0.0851,0.0423,202
0.1,0.12,8,0.0851,0.0423,202
0.12,0.08,8,0.0851,0.0423,202
0.12,0.1,8,0.0851,0.0423,202
0.12,0.12,8,0.0851,0.0423,202
0.08,0.08,5,0.072,0.0941,486
0.08,0.1,5,0.072,0.0941,486
0.08,0.12,5,0.072,0.0941,486
0.1,0.08,5,0.072,0.0941,486
0.1,0.1,5,0.072,0.0941,486
0.1,0.12,5,0.072,0.0941,486
0.12,0.08,5,0.072,0.0941,486
0.12,0.1,5,0.072,0.0941,486
0.12,0.12,5,0.072,0.0941,486
0.08,0.08,12,0.0595,0.0324,168
0.08,0.1,12,0.0595,0.0324,168
0.08,0.12,12,0.0595,0.0324,168
0.1,0.08,12,0.0595,0.0324,168
0.1,0.1,12,0.0595,0.0324,168
0.1,0.12,12,0.0595,0.0324,168
0.12,0.08,12,0.0595,0.0324,168
0.12,0.1,12,0.0595,0.0324,168
0.12,0.12,12,0.0595,0.0324,168
