ret20_weight,vol_ratio20_weight,top_n,total_return,max_drawdown,total_trades
0.2,0.1,15,0.1223,0.1543,14
0.2,0.15,15,0.1223,0.1543,14
0.2,0.2,15,0.1223,0.1543,14
0.25,0.1,15,0.1223,0.1543,14
0.25,0.15,15,0.1223,0.1543,14
0.25,0.2,15,0.1223,0.1543,14
0.3,0.1,15,0.1223,0.1543,14
0.3,0.15,15,0.1223,0.1543,14
0.3,0.2,15,0.1223,0.1543,14
0.2,0.1,5,0.0696,0.0931,442
0.2,0.15,5,0.0696,0.0931,442
0.2,0.2,5,0.0696,0.0931,442
0.25,0.1,5,0.0696,0.0931,442
0.25,0.15,5,0.0696,0.0931,442
0.25,0.2,5,0.0696,0.0931,442
0.3,0.1,5,0.0696,0.0931,442
0.3,0.15,5,0.0696,0.0931,442
0.3,0.2,5,0.0696,0.0931,442
0.2,0.1,10,0.0595,0.0398,172
0.2,0.15,10,0.0595,0.0398,172
0.2,0.2,10,0.0595,0.0398,172
0.25,0.1,10,0.0595,0.0398,172
0.25,0.15,10,0.0595,0.0398,172
0.25,0.2,10,0.0595,0.0398,172
0.3,0.1,10,0.0595,0.0398,172
0.3,0.15,10,0.0595,0.0398,172
0.3,0.2,10,0.0595,0.0398,172
