period,start,end,strategy_return,sse_return,regime,strategy_name
2020-2021,2020-01-02,2021-12-31,0,0.1797546153454706,bull,breakout_semiconductor
2022,2022-01-01,2022-12-31,0,-0.14951041465435574,bear,breakout_semiconductor
2023,2023-01-01,2023-12-31,0,-0.04542806334222564,sideways,breakout_semiconductor
2024,2024-01-01,2024-12-31,0,0.1314822702893134,bull,breakout_semiconductor
2025,2025-01-01,2025-12-31,0.0819,0.21648007958901727,bull,breakout_semiconductor
2026,2026-01-01,2026-07-03,0.0176,0.005027194921172286,sideways,breakout_semiconductor
2020-2021,2020-01-02,2021-12-31,0,0.1797546153454706,bull,quality_growth_semiconductor
2022,2022-01-01,2022-12-31,0,-0.14951041465435574,bear,quality_growth_semiconductor
2023,2023-01-01,2023-12-31,0,-0.04542806334222564,sideways,quality_growth_semiconductor
2024,2024-01-01,2024-12-31,0,0.1314822702893134,bull,quality_growth_semiconductor
2025,2025-01-01,2025-12-31,0.063,0.21648007958901727,bull,quality_growth_semiconductor
2026,2026-01-01,2026-07-03,0.0179,0.005027194921172286,sideways,quality_growth_semiconductor
2020-2021,2020-01-02,2021-12-31,0,0.1797546153454706,bull,semiconductor_trend_following
2022,2022-01-01,2022-12-31,0,-0.14951041465435574,bear,semiconductor_trend_following
2023,2023-01-01,2023-12-31,0,-0.04542806334222564,sideways,semiconductor_trend_following
2024,2024-01-01,2024-12-31,0,0.1314822702893134,bull,semiconductor_trend_following
2025,2025-01-01,2025-12-31,0.0426,0.21648007958901727,bull,semiconductor_trend_following
2026,2026-01-01,2026-07-03,0.0132,0.005027194921172286,sideways,semiconductor_trend_following
